"Toutes les combinaisons (D, B, h, theta) avec verdicts",,,,,,,,,,,,,,,
f = 1219 px  |  HFOV = 76.4 deg  |  VFOV = 47.8 deg  |  Bras = 43 cm,,,,,,,,,,,,,,,
D (cm),B (cm),h (cm),theta (deg),Enclos (cm),Marge bras (cm),x_near (cm),x_far (cm),Bras visible,Robot visible,DeltaZ centre (mm),DeltaZ robot (mm),B/Z centre,Err. rel. (%),Couverture (cm),VERDICT
58,8,37,44,65,15,15,101.1,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,37,46,65,15,13.5,91.1,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,37,48,65,15,12.1,82.7,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,37,50,65,15,10.7,75.5,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,40,36,65,15,23.2,186.5,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,40,38,65,15,21.4,159.2,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,40,40,65,15,19.6,138.5,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,40,42,65,15,17.9,122.3,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,40,44,65,15,16.2,109.3,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,40,46,65,15,14.6,98.5,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,40,48,65,15,13.1,89.4,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,40,50,65,15,11.5,81.6,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,10,28,36,65,15,16.2,130.6,NON,OUI,0.69,2.76,1/3,0.24,91.3,
58,10,28,38,65,15,15,111.4,OUI,OUI,0.69,2.76,1/3,0.24,91.3,OK
58,10,28,40,65,15,13.7,97,OUI,OUI,0.69,2.76,1/3,0.24,91.3,OK
58,10,28,42,65,15,12.5,85.6,OUI,OUI,0.69,2.76,1/3,0.24,91.3,OK
58,10,28,44,65,15,11.4,76.5,OUI,OUI,0.69,2.76,1/3,0.24,91.3,OK
58,10,28,46,65,15,10.2,68.9,OUI,OUI,0.69,2.76,1/3,0.24,91.3,OK
58,10,28,48,65,15,9.2,62.6,OUI,OUI,0.69,2.76,1/3,0.24,91.3,OK
58,10,28,50,65,15,8.1,57.1,OUI,NON,0.69,2.76,1/3,0.24,91.3,
58,10,30,36,65,15,17.4,139.9,NON,OUI,0.69,2.76,1/3,0.24,91.3,
